2024-01-03 18:52:38,432 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:38,432 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch/sketch.templ ...
2024-01-03 18:52:38,432 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:38,440 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:38,440 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:38,440 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch/sketch.props ...
2024-01-03 18:52:38,441 - prism_parser.py - found the following specification: constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:38,441 - jani.py - constructing JANI program...
2024-01-03 18:52:38,526 - jani.py - constructing the quotient...
2024-01-03 18:52:39,269 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:39,557 - sketch.py - sketch parsing OK
2024-01-03 18:52:39,558 - sketch.py - constructed explicit quotient having 1594 states and 186170 actions
2024-01-03 18:52:39,558 - sketch.py - found the following specification constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:39,685 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:39,834 - synthesizer.py - evaluation initiated, design space: 1312200
> Progress 77.334%, elapsed 3803 s, estimated 4918 s, iters = {MDP: 1014779}
> Progress 77.397%, elapsed 3806 s, estimated 4918 s, iters = {MDP: 1015609}
> Progress 77.456%, elapsed 3809 s, estimated 4918 s, iters = {MDP: 1016385}
> Progress 77.513%, elapsed 3812 s, estimated 4919 s, iters = {MDP: 1017138}
> Progress 77.569%, elapsed 3815 s, estimated 4919 s, iters = {MDP: 1017869}
> Progress 77.624%, elapsed 3818 s, estimated 4919 s, iters = {MDP: 1018592}
> Progress 77.678%, elapsed 3821 s, estimated 4920 s, iters = {MDP: 1019296}
> Progress 77.726%, elapsed 3824 s, estimated 4920 s, iters = {MDP: 1019934}
> Progress 77.779%, elapsed 3827 s, estimated 4921 s, iters = {MDP: 1020620}
> Progress 77.871%, elapsed 3830 s, estimated 4919 s, iters = {MDP: 1021837}
> Progress 77.959%, elapsed 3833 s, estimated 4917 s, iters = {MDP: 1022982}
> Progress 78.044%, elapsed 3836 s, estimated 4916 s, iters = {MDP: 1024095}
> Progress 78.122%, elapsed 3839 s, estimated 4915 s, iters = {MDP: 1025129}
> Progress 78.197%, elapsed 3842 s, estimated 4914 s, iters = {MDP: 1026109}
> Progress 78.271%, elapsed 3845 s, estimated 4913 s, iters = {MDP: 1027081}
> Progress 78.339%, elapsed 3848 s, estimated 4913 s, iters = {MDP: 1027970}
> Progress 78.405%, elapsed 3851 s, estimated 4912 s, iters = {MDP: 1028843}
> Progress 78.469%, elapsed 3854 s, estimated 4912 s, iters = {MDP: 1029675}
> Progress 78.534%, elapsed 3857 s, estimated 4912 s, iters = {MDP: 1030529}
> Progress 78.594%, elapsed 3860 s, estimated 4912 s, iters = {MDP: 1031320}
> Progress 78.654%, elapsed 3863 s, estimated 4912 s, iters = {MDP: 1032106}
> Progress 78.711%, elapsed 3866 s, estimated 4912 s, iters = {MDP: 1032857}
> Progress 78.767%, elapsed 3869 s, estimated 4913 s, iters = {MDP: 1033588}
> Progress 78.82%, elapsed 3872 s, estimated 4913 s, iters = {MDP: 1034289}
> Progress 78.874%, elapsed 3875 s, estimated 4914 s, iters = {MDP: 1034995}
> Progress 78.926%, elapsed 3878 s, estimated 4914 s, iters = {MDP: 1035678}
> Progress 78.977%, elapsed 3881 s, estimated 4915 s, iters = {MDP: 1036348}
> Progress 79.039%, elapsed 3884 s, estimated 4915 s, iters = {MDP: 1037157}
> Progress 79.133%, elapsed 3887 s, estimated 4913 s, iters = {MDP: 1038395}
> Progress 79.219%, elapsed 3890 s, estimated 4911 s, iters = {MDP: 1039514}
> Progress 79.298%, elapsed 3893 s, estimated 4910 s, iters = {MDP: 1040551}
> Progress 79.376%, elapsed 3896 s, estimated 4909 s, iters = {MDP: 1041579}
> Progress 79.45%, elapsed 3899 s, estimated 4908 s, iters = {MDP: 1042556}
> Progress 79.523%, elapsed 3902 s, estimated 4907 s, iters = {MDP: 1043507}
> Progress 79.593%, elapsed 3905 s, estimated 4907 s, iters = {MDP: 1044430}
> Progress 79.661%, elapsed 3908 s, estimated 4906 s, iters = {MDP: 1045313}
> Progress 79.726%, elapsed 3911 s, estimated 4906 s, iters = {MDP: 1046177}
> Progress 79.788%, elapsed 3914 s, estimated 4906 s, iters = {MDP: 1046990}
> Progress 79.85%, elapsed 3917 s, estimated 4906 s, iters = {MDP: 1047799}
> Progress 79.909%, elapsed 3920 s, estimated 4906 s, iters = {MDP: 1048571}
> Progress 79.965%, elapsed 3923 s, estimated 4907 s, iters = {MDP: 1049305}
> Progress 80.02%, elapsed 3926 s, estimated 4907 s, iters = {MDP: 1050031}
> Progress 80.074%, elapsed 3929 s, estimated 4907 s, iters = {MDP: 1050744}
> Progress 80.128%, elapsed 3932 s, estimated 4908 s, iters = {MDP: 1051446}
> Progress 80.179%, elapsed 3935 s, estimated 4908 s, iters = {MDP: 1052113}
> Progress 80.231%, elapsed 3938 s, estimated 4909 s, iters = {MDP: 1052796}
> Progress 80.312%, elapsed 3941 s, estimated 4908 s, iters = {MDP: 1053857}
> Progress 80.4%, elapsed 3944 s, estimated 4906 s, iters = {MDP: 1055018}
> Progress 80.487%, elapsed 3947 s, estimated 4905 s, iters = {MDP: 1056154}
> Progress 80.567%, elapsed 3950 s, estimated 4903 s, iters = {MDP: 1057208}
> Progress 80.645%, elapsed 3953 s, estimated 4902 s, iters = {MDP: 1058228}
> Progress 80.708%, elapsed 3956 s, estimated 4902 s, iters = {MDP: 1059064}
> Progress 80.771%, elapsed 3959 s, estimated 4902 s, iters = {MDP: 1059882}
> Progress 80.834%, elapsed 3962 s, estimated 4902 s, iters = {MDP: 1060710}
> Progress 80.898%, elapsed 3965 s, estimated 4902 s, iters = {MDP: 1061552}
> Progress 80.962%, elapsed 3968 s, estimated 4902 s, iters = {MDP: 1062397}
> Progress 81.024%, elapsed 3972 s, estimated 4902 s, iters = {MDP: 1063209}
> Progress 81.083%, elapsed 3975 s, estimated 4902 s, iters = {MDP: 1063976}
> Progress 81.141%, elapsed 3978 s, estimated 4902 s, iters = {MDP: 1064741}
> Progress 81.197%, elapsed 3981 s, estimated 4902 s, iters = {MDP: 1065476}
> Progress 81.251%, elapsed 3984 s, estimated 4903 s, iters = {MDP: 1066188}
> Progress 81.304%, elapsed 3987 s, estimated 4903 s, iters = {MDP: 1066882}
> Progress 81.358%, elapsed 3990 s, estimated 4904 s, iters = {MDP: 1067589}
> Progress 81.409%, elapsed 3993 s, estimated 4904 s, iters = {MDP: 1068261}
> Progress 81.46%, elapsed 3996 s, estimated 4905 s, iters = {MDP: 1068920}
> Progress 81.534%, elapsed 3999 s, estimated 4904 s, iters = {MDP: 1069896}
> Progress 81.624%, elapsed 4002 s, estimated 4902 s, iters = {MDP: 1071073}
> Progress 81.706%, elapsed 4005 s, estimated 4901 s, iters = {MDP: 1072157}
> Progress 81.785%, elapsed 4008 s, estimated 4900 s, iters = {MDP: 1073184}
> Progress 81.861%, elapsed 4011 s, estimated 4899 s, iters = {MDP: 1074193}
> Progress 81.934%, elapsed 4014 s, estimated 4899 s, iters = {MDP: 1075139}
> Progress 82.003%, elapsed 4017 s, estimated 4898 s, iters = {MDP: 1076057}
> Progress 82.072%, elapsed 4020 s, estimated 4898 s, iters = {MDP: 1076950}
> Progress 82.136%, elapsed 4023 s, estimated 4897 s, iters = {MDP: 1077800}
> Progress 82.2%, elapsed 4026 s, estimated 4897 s, iters = {MDP: 1078632}
> Progress 82.261%, elapsed 4029 s, estimated 4897 s, iters = {MDP: 1079439}
> Progress 82.322%, elapsed 4032 s, estimated 4897 s, iters = {MDP: 1080239}
> Progress 82.38%, elapsed 4035 s, estimated 4898 s, iters = {MDP: 1080995}
> Progress 82.435%, elapsed 4038 s, estimated 4898 s, iters = {MDP: 1081716}
> Progress 82.489%, elapsed 4041 s, estimated 4898 s, iters = {MDP: 1082428}
> Progress 82.542%, elapsed 4044 s, estimated 4899 s, iters = {MDP: 1083123}
> Progress 82.595%, elapsed 4047 s, estimated 4899 s, iters = {MDP: 1083815}
> Progress 82.646%, elapsed 4050 s, estimated 4900 s, iters = {MDP: 1084486}
> Progress 82.697%, elapsed 4053 s, estimated 4901 s, iters = {MDP: 1085159}
> Progress 82.773%, elapsed 4056 s, estimated 4900 s, iters = {MDP: 1086151}
> Progress 82.861%, elapsed 4059 s, estimated 4898 s, iters = {MDP: 1087307}
> Progress 82.945%, elapsed 4062 s, estimated 4897 s, iters = {MDP: 1088414}
> Progress 83.023%, elapsed 4065 s, estimated 4896 s, iters = {MDP: 1089437}
> Progress 83.099%, elapsed 4068 s, estimated 4895 s, iters = {MDP: 1090431}
> Progress 83.172%, elapsed 4071 s, estimated 4894 s, iters = {MDP: 1091388}
> Progress 83.243%, elapsed 4074 s, estimated 4894 s, iters = {MDP: 1092322}
> Progress 83.311%, elapsed 4077 s, estimated 4893 s, iters = {MDP: 1093214}
> Progress 83.377%, elapsed 4080 s, estimated 4893 s, iters = {MDP: 1094083}
> Progress 83.441%, elapsed 4083 s, estimated 4893 s, iters = {MDP: 1094923}
> Progress 83.502%, elapsed 4086 s, estimated 4893 s, iters = {MDP: 1095715}
> Progress 83.561%, elapsed 4089 s, estimated 4893 s, iters = {MDP: 1096497}
> Progress 83.619%, elapsed 4092 s, estimated 4893 s, iters = {MDP: 1097254}
> Progress 83.673%, elapsed 4095 s, estimated 4894 s, iters = {MDP: 1097970}
> Progress 83.727%, elapsed 4098 s, estimated 4894 s, iters = {MDP: 1098677}
> Progress 83.78%, elapsed 4101 s, estimated 4895 s, iters = {MDP: 1099375}
> Progress 83.833%, elapsed 4104 s, estimated 4895 s, iters = {MDP: 1100062}
> Progress 83.883%, elapsed 4107 s, estimated 4896 s, iters = {MDP: 1100720}
> Progress 83.933%, elapsed 4110 s, estimated 4896 s, iters = {MDP: 1101376}
> Progress 84.011%, elapsed 4113 s, estimated 4895 s, iters = {MDP: 1102396}
> Progress 84.098%, elapsed 4116 s, estimated 4894 s, iters = {MDP: 1103542}
> Progress 84.181%, elapsed 4119 s, estimated 4893 s, iters = {MDP: 1104635}
> Progress 84.26%, elapsed 4122 s, estimated 4892 s, iters = {MDP: 1105665}
> Progress 84.336%, elapsed 4125 s, estimated 4891 s, iters = {MDP: 1106671}
> Progress 84.408%, elapsed 4128 s, estimated 4890 s, iters = {MDP: 1107610}
> Progress 84.479%, elapsed 4131 s, estimated 4890 s, iters = {MDP: 1108539}
> Progress 84.548%, elapsed 4134 s, estimated 4889 s, iters = {MDP: 1109447}
> Progress 84.614%, elapsed 4137 s, estimated 4889 s, iters = {MDP: 1110307}
> Progress 84.679%, elapsed 4140 s, estimated 4889 s, iters = {MDP: 1111159}
> Progress 84.74%, elapsed 4143 s, estimated 4889 s, iters = {MDP: 1111961}
> Progress 84.801%, elapsed 4146 s, estimated 4889 s, iters = {MDP: 1112770}
> Progress 84.858%, elapsed 4149 s, estimated 4889 s, iters = {MDP: 1113515}
> Progress 84.914%, elapsed 4152 s, estimated 4889 s, iters = {MDP: 1114255}
> Progress 84.97%, elapsed 4155 s, estimated 4890 s, iters = {MDP: 1114981}
> Progress 85.024%, elapsed 4158 s, estimated 4890 s, iters = {MDP: 1115687}
> Progress 85.077%, elapsed 4161 s, estimated 4891 s, iters = {MDP: 1116386}
> Progress 85.129%, elapsed 4164 s, estimated 4891 s, iters = {MDP: 1117064}
> Progress 85.179%, elapsed 4167 s, estimated 4892 s, iters = {MDP: 1117730}
> Progress 85.266%, elapsed 4170 s, estimated 4890 s, iters = {MDP: 1118868}
> Progress 85.354%, elapsed 4173 s, estimated 4889 s, iters = {MDP: 1120025}
> Progress 85.436%, elapsed 4176 s, estimated 4888 s, iters = {MDP: 1121099}
> Progress 85.512%, elapsed 4179 s, estimated 4887 s, iters = {MDP: 1122099}
> Progress 85.588%, elapsed 4182 s, estimated 4886 s, iters = {MDP: 1123089}
> Progress 85.66%, elapsed 4185 s, estimated 4885 s, iters = {MDP: 1124042}
> Progress 85.728%, elapsed 4188 s, estimated 4885 s, iters = {MDP: 1124932}
> Progress 85.794%, elapsed 4191 s, estimated 4885 s, iters = {MDP: 1125802}
> Progress 85.859%, elapsed 4194 s, estimated 4884 s, iters = {MDP: 1126649}
> Progress 85.923%, elapsed 4197 s, estimated 4884 s, iters = {MDP: 1127484}
> Progress 85.982%, elapsed 4200 s, estimated 4884 s, iters = {MDP: 1128265}
> Progress 86.042%, elapsed 4203 s, estimated 4885 s, iters = {MDP: 1129046}
> Progress 86.098%, elapsed 4206 s, estimated 4885 s, iters = {MDP: 1129781}
> Progress 86.152%, elapsed 4209 s, estimated 4885 s, iters = {MDP: 1130493}
> Progress 86.205%, elapsed 4212 s, estimated 4886 s, iters = {MDP: 1131192}
> Progress 86.258%, elapsed 4215 s, estimated 4886 s, iters = {MDP: 1131890}
> Progress 86.311%, elapsed 4218 s, estimated 4887 s, iters = {MDP: 1132575}
> Progress 86.361%, elapsed 4221 s, estimated 4887 s, iters = {MDP: 1133231}
> Progress 86.41%, elapsed 4224 s, estimated 4888 s, iters = {MDP: 1133886}
> Progress 86.494%, elapsed 4227 s, estimated 4887 s, iters = {MDP: 1134980}
> Progress 86.581%, elapsed 4230 s, estimated 4885 s, iters = {MDP: 1136118}
> Progress 86.664%, elapsed 4233 s, estimated 4884 s, iters = {MDP: 1137218}
> Progress 86.741%, elapsed 4236 s, estimated 4883 s, iters = {MDP: 1138229}
> Progress 86.817%, elapsed 4239 s, estimated 4882 s, iters = {MDP: 1139215}
> Progress 86.889%, elapsed 4242 s, estimated 4882 s, iters = {MDP: 1140162}
> Progress 86.96%, elapsed 4245 s, estimated 4881 s, iters = {MDP: 1141095}
> Progress 87.028%, elapsed 4248 s, estimated 4881 s, iters = {MDP: 1141986}
> Progress 87.092%, elapsed 4251 s, estimated 4881 s, iters = {MDP: 1142827}
> Progress 87.157%, elapsed 4254 s, estimated 4881 s, iters = {MDP: 1143680}
> Progress 87.217%, elapsed 4257 s, estimated 4881 s, iters = {MDP: 1144472}
> Progress 87.277%, elapsed 4260 s, estimated 4881 s, iters = {MDP: 1145257}
> Progress 87.334%, elapsed 4263 s, estimated 4881 s, iters = {MDP: 1146000}
> Progress 87.39%, elapsed 4266 s, estimated 4881 s, iters = {MDP: 1146734}
> Progress 87.443%, elapsed 4269 s, estimated 4882 s, iters = {MDP: 1147435}
> Progress 87.497%, elapsed 4272 s, estimated 4882 s, iters = {MDP: 1148142}
> Progress 87.55%, elapsed 4275 s, estimated 4883 s, iters = {MDP: 1148833}
> Progress 87.6%, elapsed 4278 s, estimated 4883 s, iters = {MDP: 1149500}
> Progress 87.651%, elapsed 4281 s, estimated 4884 s, iters = {MDP: 1150170}
> Progress 87.741%, elapsed 4284 s, estimated 4882 s, iters = {MDP: 1151346}
> Progress 87.828%, elapsed 4287 s, estimated 4881 s, iters = {MDP: 1152490}
> Progress 87.911%, elapsed 4290 s, estimated 4880 s, iters = {MDP: 1153575}
> Progress 87.988%, elapsed 4293 s, estimated 4879 s, iters = {MDP: 1154582}
> Progress 88.063%, elapsed 4296 s, estimated 4878 s, iters = {MDP: 1155573}
> Progress 88.135%, elapsed 4299 s, estimated 4877 s, iters = {MDP: 1156509}
> Progress 88.203%, elapsed 4302 s, estimated 4877 s, iters = {MDP: 1157401}
> Progress 88.27%, elapsed 4305 s, estimated 4877 s, iters = {MDP: 1158281}
> Progress 88.334%, elapsed 4308 s, estimated 4877 s, iters = {MDP: 1159125}
> Progress 88.398%, elapsed 4311 s, estimated 4877 s, iters = {MDP: 1159960}
> Progress 88.458%, elapsed 4314 s, estimated 4877 s, iters = {MDP: 1160759}
> Progress 88.52%, elapsed 4317 s, estimated 4877 s, iters = {MDP: 1161565}
> Progress 88.577%, elapsed 4320 s, estimated 4877 s, iters = {MDP: 1162311}
> Progress 88.633%, elapsed 4323 s, estimated 4877 s, iters = {MDP: 1163056}
> Progress 88.688%, elapsed 4326 s, estimated 4878 s, iters = {MDP: 1163774}
> Progress 88.74%, elapsed 4329 s, estimated 4878 s, iters = {MDP: 1164450}
> Progress 88.792%, elapsed 4332 s, estimated 4879 s, iters = {MDP: 1165138}
> Progress 88.843%, elapsed 4335 s, estimated 4879 s, iters = {MDP: 1165807}
> Progress 88.898%, elapsed 4338 s, estimated 4880 s, iters = {MDP: 1166526}
> Progress 88.987%, elapsed 4341 s, estimated 4878 s, iters = {MDP: 1167695}
> Progress 89.066%, elapsed 4344 s, estimated 4877 s, iters = {MDP: 1168733}
> Progress 89.133%, elapsed 4347 s, estimated 4877 s, iters = {MDP: 1169610}
> Progress 89.191%, elapsed 4350 s, estimated 4877 s, iters = {MDP: 1170374}
> Progress 89.245%, elapsed 4353 s, estimated 4877 s, iters = {MDP: 1171083}
> Progress 89.308%, elapsed 4356 s, estimated 4877 s, iters = {MDP: 1171913}
> Progress 89.375%, elapsed 4359 s, estimated 4877 s, iters = {MDP: 1172788}
> Progress 89.439%, elapsed 4362 s, estimated 4877 s, iters = {MDP: 1173623}
> Progress 89.502%, elapsed 4365 s, estimated 4877 s, iters = {MDP: 1174449}
> Progress 89.561%, elapsed 4368 s, estimated 4877 s, iters = {MDP: 1175233}
> Progress 89.623%, elapsed 4371 s, estimated 4877 s, iters = {MDP: 1176044}
> Progress 89.682%, elapsed 4374 s, estimated 4877 s, iters = {MDP: 1176812}
> Progress 89.741%, elapsed 4377 s, estimated 4877 s, iters = {MDP: 1177586}
> Progress 89.795%, elapsed 4380 s, estimated 4878 s, iters = {MDP: 1178293}
> Progress 89.85%, elapsed 4383 s, estimated 4878 s, iters = {MDP: 1179016}
> Progress 89.903%, elapsed 4386 s, estimated 4878 s, iters = {MDP: 1179718}
> Progress 89.955%, elapsed 4389 s, estimated 4879 s, iters = {MDP: 1180400}
> Progress 90.007%, elapsed 4392 s, estimated 4879 s, iters = {MDP: 1181083}
> Progress 90.056%, elapsed 4395 s, estimated 4880 s, iters = {MDP: 1181724}
> Progress 90.103%, elapsed 4398 s, estimated 4881 s, iters = {MDP: 1182344}
> Progress 90.176%, elapsed 4401 s, estimated 4880 s, iters = {MDP: 1183293}
> Progress 90.264%, elapsed 4404 s, estimated 4879 s, iters = {MDP: 1184455}
> Progress 90.345%, elapsed 4407 s, estimated 4878 s, iters = {MDP: 1185509}
> Progress 90.409%, elapsed 4410 s, estimated 4878 s, iters = {MDP: 1186350}
> Progress 90.482%, elapsed 4413 s, estimated 4877 s, iters = {MDP: 1187314}
> Progress 90.551%, elapsed 4416 s, estimated 4877 s, iters = {MDP: 1188224}
> Progress 90.621%, elapsed 4419 s, estimated 4876 s, iters = {MDP: 1189137}
> Progress 90.687%, elapsed 4422 s, estimated 4876 s, iters = {MDP: 1190000}
> Progress 90.749%, elapsed 4425 s, estimated 4876 s, iters = {MDP: 1190821}
> Progress 90.808%, elapsed 4428 s, estimated 4876 s, iters = {MDP: 1191588}
> Progress 90.869%, elapsed 4431 s, estimated 4876 s, iters = {MDP: 1192395}
> Progress 90.927%, elapsed 4434 s, estimated 4876 s, iters = {MDP: 1193152}
> Progress 90.985%, elapsed 4437 s, estimated 4876 s, iters = {MDP: 1193918}
> Progress 91.04%, elapsed 4440 s, estimated 4877 s, iters = {MDP: 1194628}
> Progress 91.095%, elapsed 4443 s, estimated 4877 s, iters = {MDP: 1195350}
> Progress 91.147%, elapsed 4446 s, estimated 4878 s, iters = {MDP: 1196037}
> Progress 91.169%, elapsed 4460 s, estimated 4892 s, iters = {MDP: 1196322}
> Progress 91.221%, elapsed 4463 s, estimated 4892 s, iters = {MDP: 1197008}
> Progress 91.271%, elapsed 4466 s, estimated 4893 s, iters = {MDP: 1197662}
> Progress 91.32%, elapsed 4469 s, estimated 4893 s, iters = {MDP: 1198308}
> Progress 91.378%, elapsed 4472 s, estimated 4894 s, iters = {MDP: 1199073}
> Progress 91.466%, elapsed 4475 s, estimated 4892 s, iters = {MDP: 1200223}
> Progress 91.548%, elapsed 4478 s, estimated 4891 s, iters = {MDP: 1201305}
> Progress 91.627%, elapsed 4481 s, estimated 4890 s, iters = {MDP: 1202338}
> Progress 91.702%, elapsed 4484 s, estimated 4889 s, iters = {MDP: 1203319}
> Progress 91.769%, elapsed 4487 s, estimated 4889 s, iters = {MDP: 1204197}
> Progress 91.836%, elapsed 4490 s, estimated 4889 s, iters = {MDP: 1205077}
> Progress 91.902%, elapsed 4493 s, estimated 4889 s, iters = {MDP: 1205942}
> Progress 91.966%, elapsed 4496 s, estimated 4888 s, iters = {MDP: 1206782}
> Progress 92.026%, elapsed 4499 s, estimated 4888 s, iters = {MDP: 1207572}
> Progress 92.088%, elapsed 4502 s, estimated 4888 s, iters = {MDP: 1208388}
> Progress 92.147%, elapsed 4505 s, estimated 4889 s, iters = {MDP: 1209154}
> Progress 92.205%, elapsed 4508 s, estimated 4889 s, iters = {MDP: 1209917}
> Progress 92.26%, elapsed 4511 s, estimated 4889 s, iters = {MDP: 1210648}
> Progress 92.314%, elapsed 4514 s, estimated 4889 s, iters = {MDP: 1211354}
> Progress 92.364%, elapsed 4517 s, estimated 4890 s, iters = {MDP: 1212012}
> Progress 92.416%, elapsed 4520 s, estimated 4891 s, iters = {MDP: 1212688}
> Progress 92.468%, elapsed 4523 s, estimated 4891 s, iters = {MDP: 1213379}
> Progress 92.518%, elapsed 4526 s, estimated 4892 s, iters = {MDP: 1214029}
> Progress 92.568%, elapsed 4529 s, estimated 4892 s, iters = {MDP: 1214680}
> Progress 92.636%, elapsed 4532 s, estimated 4892 s, iters = {MDP: 1215579}
> Progress 92.724%, elapsed 4535 s, estimated 4891 s, iters = {MDP: 1216726}
> Progress 92.804%, elapsed 4538 s, estimated 4890 s, iters = {MDP: 1217776}
> Progress 92.881%, elapsed 4541 s, estimated 4889 s, iters = {MDP: 1218795}
> Progress 92.954%, elapsed 4544 s, estimated 4888 s, iters = {MDP: 1219750}
> Progress 93.02%, elapsed 4547 s, estimated 4888 s, iters = {MDP: 1220622}
> Progress 93.088%, elapsed 4550 s, estimated 4888 s, iters = {MDP: 1221504}
> Progress 93.153%, elapsed 4553 s, estimated 4887 s, iters = {MDP: 1222357}
> Progress 93.216%, elapsed 4556 s, estimated 4887 s, iters = {MDP: 1223184}
> Progress 93.277%, elapsed 4559 s, estimated 4887 s, iters = {MDP: 1223989}
> Progress 93.339%, elapsed 4562 s, estimated 4887 s, iters = {MDP: 1224798}
> Progress 93.396%, elapsed 4565 s, estimated 4887 s, iters = {MDP: 1225551}
> Progress 93.453%, elapsed 4568 s, estimated 4888 s, iters = {MDP: 1226300}
> Progress 93.508%, elapsed 4571 s, estimated 4888 s, iters = {MDP: 1227016}
> Progress 93.562%, elapsed 4574 s, estimated 4888 s, iters = {MDP: 1227731}
> Progress 93.611%, elapsed 4577 s, estimated 4889 s, iters = {MDP: 1228373}
> Progress 93.662%, elapsed 4580 s, estimated 4890 s, iters = {MDP: 1229043}
> Progress 93.714%, elapsed 4583 s, estimated 4890 s, iters = {MDP: 1229720}
> Progress 93.764%, elapsed 4586 s, estimated 4891 s, iters = {MDP: 1230374}
> Progress 93.814%, elapsed 4589 s, estimated 4891 s, iters = {MDP: 1231029}
> Progress 93.89%, elapsed 4592 s, estimated 4891 s, iters = {MDP: 1232031}
> Progress 93.974%, elapsed 4595 s, estimated 4889 s, iters = {MDP: 1233137}
> Progress 94.052%, elapsed 4598 s, estimated 4888 s, iters = {MDP: 1234161}
> Progress 94.126%, elapsed 4601 s, estimated 4888 s, iters = {MDP: 1235123}
> Progress 94.187%, elapsed 4604 s, estimated 4888 s, iters = {MDP: 1235927}
> Progress 94.247%, elapsed 4607 s, estimated 4888 s, iters = {MDP: 1236719}
> Progress 94.292%, elapsed 4610 s, estimated 4889 s, iters = {MDP: 1237305}
> Progress 94.304%, elapsed 4613 s, estimated 4892 s, iters = {MDP: 1237465}
> Progress 94.307%, elapsed 4616 s, estimated 4895 s, iters = {MDP: 1237503}
> Progress 94.308%, elapsed 4620 s, estimated 4898 s, iters = {MDP: 1237512}
> Progress 94.308%, elapsed 4623 s, estimated 4902 s, iters = {MDP: 1237520}
> Progress 94.309%, elapsed 4626 s, estimated 4905 s, iters = {MDP: 1237526}
> Progress 94.309%, elapsed 4629 s, estimated 4909 s, iters = {MDP: 1237533}
> Progress 94.311%, elapsed 4633 s, estimated 4912 s, iters = {MDP: 1237562}
> Progress 94.315%, elapsed 4636 s, estimated 4916 s, iters = {MDP: 1237610}
> Progress 94.316%, elapsed 4639 s, estimated 4919 s, iters = {MDP: 1237620}
> Progress 94.316%, elapsed 4642 s, estimated 4922 s, iters = {MDP: 1237627}
> Progress 94.317%, elapsed 4647 s, estimated 4927 s, iters = {MDP: 1237630}
> Progress 94.317%, elapsed 4651 s, estimated 4931 s, iters = {MDP: 1237635}
> Progress 94.317%, elapsed 4655 s, estimated 4935 s, iters = {MDP: 1237640}
> Progress 94.318%, elapsed 4658 s, estimated 4939 s, iters = {MDP: 1237647}
> Progress 94.318%, elapsed 4661 s, estimated 4942 s, iters = {MDP: 1237652}
> Progress 94.319%, elapsed 4664 s, estimated 4945 s, iters = {MDP: 1237655}
> Progress 94.319%, elapsed 4669 s, estimated 4950 s, iters = {MDP: 1237658}
> Progress 94.319%, elapsed 4673 s, estimated 4954 s, iters = {MDP: 1237661}
> Progress 94.319%, elapsed 4676 s, estimated 4958 s, iters = {MDP: 1237663}
> Progress 94.319%, elapsed 4680 s, estimated 4962 s, iters = {MDP: 1237665}
> Progress 94.319%, elapsed 4684 s, estimated 4966 s, iters = {MDP: 1237668}
> Progress 94.32%, elapsed 4687 s, estimated 4970 s, iters = {MDP: 1237671}
> Progress 94.32%, elapsed 4691 s, estimated 4974 s, iters = {MDP: 1237675}
> Progress 94.32%, elapsed 4694 s, estimated 4977 s, iters = {MDP: 1237679}
> Progress 94.321%, elapsed 4698 s, estimated 4981 s, iters = {MDP: 1237682}
> Progress 94.321%, elapsed 4702 s, estimated 4985 s, iters = {MDP: 1237684}
> Progress 94.321%, elapsed 4705 s, estimated 4988 s, iters = {MDP: 1237685}
> Progress 94.321%, elapsed 4709 s, estimated 4992 s, iters = {MDP: 1237687}
> Progress 94.321%, elapsed 4712 s, estimated 4996 s, iters = {MDP: 1237690}
> Progress 94.321%, elapsed 4717 s, estimated 5001 s, iters = {MDP: 1237693}
> Progress 94.321%, elapsed 4720 s, estimated 5004 s, iters = {MDP: 1237694}
> Progress 94.322%, elapsed 4733 s, estimated 5018 s, iters = {MDP: 1237696}
> Progress 94.322%, elapsed 4741 s, estimated 5026 s, iters = {MDP: 1237697}
> Progress 94.322%, elapsed 4746 s, estimated 5031 s, iters = {MDP: 1237698}
> Progress 94.366%, elapsed 4749 s, estimated 5032 s, iters = {MDP: 1238281}
> Progress 94.434%, elapsed 4752 s, estimated 5032 s, iters = {MDP: 1239170}
> Progress 94.496%, elapsed 4755 s, estimated 5032 s, iters = {MDP: 1239988}
> Progress 94.557%, elapsed 4758 s, estimated 5032 s, iters = {MDP: 1240788}
> Progress 94.619%, elapsed 4761 s, estimated 5032 s, iters = {MDP: 1241595}
> Progress 94.681%, elapsed 4764 s, estimated 5031 s, iters = {MDP: 1242416}
> Progress 94.741%, elapsed 4767 s, estimated 5031 s, iters = {MDP: 1243195}
> Progress 94.799%, elapsed 4770 s, estimated 5032 s, iters = {MDP: 1243959}
> Progress 94.854%, elapsed 4773 s, estimated 5032 s, iters = {MDP: 1244678}
> Progress 94.909%, elapsed 4776 s, estimated 5032 s, iters = {MDP: 1245404}
> Progress 94.963%, elapsed 4779 s, estimated 5032 s, iters = {MDP: 1246114}
